               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12012,            0.011818,            0.043128,                   0,                   0,                   0,                   0,               0.123,            0.010578,            0.042408,             0.00036,             0.00036,             0.09676
                   1,              0.1135,            0.010547,            0.038074,          0.00010717,            0.014064,          5.6021e-05,          1.1103e-05,             0.11084,             0.01056,            0.038894,          0.00072989,          0.00072989,             0.09343
                   2,             0.09795,            0.011942,            0.035274,            0.017144,            0.035377,           0.0046734,           0.0011995,            0.096262,            0.012629,            0.036622,           0.0010993,           0.0010993,            0.090099
                   3,             0.08377,            0.014628,             0.03477,             0.34903,             0.07783,            0.050121,            0.011579,            0.080508,             0.01396,            0.036022,            0.001468,            0.001468,            0.086768
                   4,            0.072874,            0.014018,            0.034793,             0.08106,             0.32786,              0.1274,            0.029725,            0.069954,            0.011593,            0.035117,           0.0018355,           0.0018355,            0.083435
                   5,            0.065076,            0.011764,            0.032132,            0.098232,             0.29322,             0.10374,             0.02347,             0.07286,            0.010265,            0.033433,           0.0022015,           0.0022015,            0.080101
                   6,            0.063658,            0.010814,            0.031688,             0.15796,             0.35412,             0.17996,            0.075441,            0.056509,            0.010819,            0.031032,           0.0025657,           0.0025657,            0.076766
                   7,            0.059945,            0.010302,            0.028898,             0.13947,             0.48667,             0.20011,            0.055116,            0.061222,             0.00961,            0.030813,           0.0029278,           0.0029278,            0.073428
                   8,            0.056794,            0.010125,              0.0277,              0.2987,             0.42866,             0.33181,             0.12466,            0.054479,           0.0099679,            0.030224,           0.0032874,           0.0032874,            0.070087
                   9,            0.057483,           0.0098142,            0.026467,             0.44568,             0.35526,             0.26526,            0.066724,             0.05093,           0.0092928,            0.027195,           0.0036441,           0.0036441,            0.066744
                  10,            0.059226,           0.0094517,            0.024351,             0.28422,             0.50909,             0.32674,            0.098933,            0.056351,           0.0086913,            0.024452,           0.0039977,           0.0039977,            0.063398
